,Player,Pos,Age,Tm,GS,MP,FG,FG%,3P,3P%,FT,FT%,TRB,AST,STL,BLK,TOV,PTS
252,Donta Hall,PF,22,TOT,0,14.8,1.7,0.682,0.0,0.0,1.0,0.5,4.2,0.4,0.3,0.7,0.6,4.3
253,Donta Hall,PF,22,DET,0,12.0,0.3,0.25,0.0,0.0,1.0,0.667,3.8,0.5,0.3,0.3,0.5,1.5
254,Donta Hall,PF,22,BRK,0,17.0,2.8,0.778,0.0,0.0,1.0,0.417,4.6,0.4,0.4,1.0,0.6,6.6
255,Dusty Hannahs,SG,26,MEM,0,6.5,2.0,0.444,1.0,0.667,1.0,1.0,0.5,0.0,0.0,0.0,0.0,6.0
256,Tim Hardaway Jr.,SG,27,DAL,58,29.5,5.4,0.434,2.9,0.398,2.1,0.819,3.3,1.9,0.6,0.1,1.0,15.8
257,James Harden,SG,30,HOU,68,36.5,9.9,0.444,4.4,0.355,10.2,0.865,6.6,7.5,1.8,0.9,4.5,34.3
258,Maurice Harkless,SF,26,TOT,48,23.0,2.3,0.502,0.5,0.347,0.6,0.591,3.9,1.1,0.9,0.5,0.9,5.8
259,Maurice Harkless,SF,26,LAC,38,22.8,2.2,0.516,0.5,0.37,0.5,0.571,4.0,1.0,1.0,0.6,0.9,5.5
260,Maurice Harkless,SF,26,NYK,10,23.8,2.5,0.455,0.6,0.28,1.3,0.625,3.3,1.7,0.8,0.3,0.6,6.8
261,Jared Harper,PG,22,PHO,0,2.7,0.3,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7
262,Montrezl Harrell,C,26,LAC,2,27.8,7.5,0.58,0.0,0.0,3.7,0.658,7.1,1.7,0.6,1.1,1.7,18.6
263,Gary Harris,SG,25,DEN,55,31.8,3.9,0.42,1.3,0.333,1.3,0.815,2.9,2.1,1.4,0.3,1.1,10.4
264,Joe Harris,SF,28,BRK,69,30.8,5.5,0.486,2.5,0.424,0.9,0.719,4.3,2.1,0.6,0.2,1.5,14.5
265,Tobias Harris,PF,27,PHI,72,34.3,7.7,0.471,1.8,0.367,2.4,0.806,6.9,3.2,0.7,0.6,1.4,19.6
266,Shaquille Harrison,SF,26,CHI,10,11.3,1.8,0.467,0.4,0.381,0.9,0.78,2.0,1.1,0.8,0.4,0.4,4.9
267,Josh Hart,SF,24,NOP,16,27.0,3.5,0.423,1.9,0.342,1.3,0.739,6.5,1.7,1.0,0.4,1.2,10.1
268,Isaiah Hartenstein,C,21,HOU,2,11.6,1.9,0.657,0.0,0.0,0.8,0.679,3.9,0.8,0.4,0.5,0.7,4.7
269,Udonis Haslem,PF,39,MIA,1,11.0,1.0,0.364,0.3,0.333,0.8,0.75,4.0,0.3,0.0,0.0,0.3,3.0
270,Jaxson Hayes,C,19,NOP,14,16.9,2.7,0.672,0.0,0.25,1.9,0.647,4.0,0.9,0.4,0.9,0.8,7.4
271,Gordon Hayward,SF,29,BOS,52,33.5,6.7,0.5,1.6,0.383,2.4,0.855,6.7,4.1,0.7,0.4,1.8,17.5
272,John Henson,PF,29,TOT,8,15.0,2.4,0.556,0.2,0.222,0.6,0.5,4.1,1.4,0.6,1.1,0.9,5.5
273,John Henson,PF,29,CLE,2,14.2,2.1,0.508,0.2,0.194,0.6,0.515,3.9,1.5,0.6,1.1,0.7,5.0
274,John Henson,PF,29,DET,6,17.1,3.1,0.667,0.2,0.4,0.5,0.462,4.4,1.0,0.7,0.9,1.4,6.9
275,Dewan Hernandez,C,23,TOR,0,4.7,0.8,0.357,0.2,0.5,0.5,0.6,2.3,0.5,0.2,0.0,0.5,2.3
276,Juan Hernangómez,PF,24,TOT,14,17.4,2.1,0.405,0.9,0.341,0.9,0.62,4.1,0.8,0.4,0.2,0.7,6.0
